member
菅原咲月,0,31,31,120,120,71,100.5,82.5,73.5,71,62,55.5,62,64.5,0,112,127.5,89,64.5,127.5,107,58,116,95.5,122.5,98,49,127.5,176.5,138,120,82.5,58,0,143,205,102,40,161,268,107,154.5,201,120,201,174,158.5,149.5,162.5,107,139,215,176.5,174,98,15.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,55.5,77.5,77.5,80,62,76,55.5,55.5,152,117.5,89,116,153.5,89,109.5,107,58,40,46.5,0,139,139,76,40,96.5,163.5,122.5,117.5,108.5,111,104.5,40,121,67,139,96.5,49,40,51.5,80,31,55.5,15.5,0,96.5,121,103,170,122.5,89,125,134,91.5,24.5,0,0,0,0,0,
向井葉月,1047.5,1023,1023,1045,1045,1027,1005,998.5,1005,1070.5,1037,1048.5,1048.5,1142.5,1017.5,1066.5,959.5,910.5,958,887,844.5,811,764.5,769.5,680.5,696,584,557,541.5,468,432,376.5,392,474.5,434.5,419,513,532,489.5,547.5,514,511.5,527,685.5,580,564.5,468,421.5,354.5,312,229.5,156,71,51.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,265.5,314.5,345.5,361,425.5,392,423,438.5,438.5,478.5,594.5,594.5,646,646,706.5,749,795.5,835.5,882,873,861.5,904,963,952.5,952.5,964,946,982,924,868.5,801.5,783.5,710,725.5,692,725.5,638,571,571,667.5,734.5,734.5,629,671.5,593,522,551.5,453.5,362,449.5,422.5,326,299,308,395.5,608,715,730.5,603,536,435.5,377.5,344,344,256.5,210,158.5,91.5,51.5,51.5,0,0,0,0,0,0,
小川彩,0,82.5,82.5,138,138,129,153.5,151,126.5,160,153.5,144.5,169,126.5,156,122.5,129,237,219,232,223,218,233.5,240,286.5,182,263,250,259,308,256.5,263,189.5,131.5,234.5,198.5,241,200,193.5,209,178,162.5,265.5,210,264,288.5,273,304,306.5,349,335,366,314.5,303,260.5,260.5,198.5,156,82.5,51.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96.5,143,210,147,138,148.5,148.5,162.5,158.5,125,188,192,225.5,156,158.5,169,178,104.5,201,194.5,241,189.5,178,107,134,121,139,152,223,135.5,126.5,117.5,140.5,85,190.5,154.5,149.5,143,174,134,179,127.5,185.5,125,134,67,130,185.5,140.5,207.5,247.5,205,189.5,158.5,107,15.5,0,0,
清宮レイ,659.5,659.5,659.5,538.5,538.5,514,489.5,496,569.5,545,545,556.5,511.5,478,478,556.5,487,532,498.5,565.5,460,435.5,511.5,439.5,424,419,435.5,411,326,301.5,288.5,367,315.5,264,264,188,199.5,233,136.5,349,349,239.5,264,203.5,176.5,183,109.5,67,15.5,15.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126.5,242.5,242.5,276,376.5,376.5,419,515.5,540,540,564.5,667.5,667.5,698.5,814.5,830,943.5,1068.5,1084,1077.5,1125,1136.5,1085,984.5,984.5,1109.5,1109.5,1134,1149.5,1015.5,948.5,899.5,1050,967.5,967.5,983,989.5,922.5,911,877.5,853,868.5,781,781,693.5,696,725.5,725.5,729.5,765.5,799,862,855.5,895.5,871,837.5,786,813,764,703.5,670,603,603,506.5,415,381.5,292.5,259,225.5,125,55.5,0,0,0,0,0,
奥田いろは,0,0,0,145.5,145.5,170,107,152,118.5,167.5,246,246,230.5,270.5,322,219,261.5,259,241,241,295,308,243.5,282,331,295,359.5,278.5,332.5,305.5,296.5,308,274.5,274.5,310.5,270.5,252.5,270.5,264,282,257.5,284.5,300,297.5,279.5,273,264,340,255,255,143,94,51.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.5,15.5,15.5,15.5,15.5,15.5,0,0,0,15.5,71,62,42.5,24.5,60.5,42.5,42.5,161,64.5,143,152,82.5,80,67,107,91.5,100.5,91.5,118.5,109.5,107,58,96.5,121,103,161,113.5,55.5,96.5,163.5,100.5,91.5,107,89,91.5,73.5,98,91.5,100.5,49,58,67,0,0,67,94,107,107,67,134,100.5,125,55.5,0,0,0,
筒井あやめ,739,770,745.5,770,770,839.5,960.5,927,893.5,839.5,833,864,873,866.5,923,1037.5,1019.5,974.5,990,1012,936,969.5,947.5,892,927,902.5,820,878,848.5,821.5,752,734,703,656.5,589.5,585.5,625.5,547,540.5,567.5,601,617.5,590.5,606,563.5,532.5,450,410,327.5,278.5,278.5,166.5,95.5,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,238.5,325,419,468,545.5,545.5,592,592,592,607.5,623,638.5,638.5,638.5,654,687.5,732.5,683.5,772.5,821.5,812.5,861.5,785.5,806,799.5,846,846,832,827,850,816.5,859,901.5,861.5,915.5,942.5,958,911.5,988.5,961.5,946,970.5,892,858.5,852,867.5,807,776,715.5,633,617.5,590.5,648.5,585.5,540.5,509.5,514.5,499,414,358.5,312,312,178,131.5,76,15.5,0,0,0,0,0,0,0,0,0,0,
岡本姫奈,0,0,40,100.5,100.5,104.5,89,95.5,73.5,49,116,91.5,91.5,58,31,46.5,64.5,51.5,107,60.5,76,58,91.5,77.5,64.5,107,95.5,51.5,94,136.5,127.5,94,122.5,93,82.5,82.5,31,69.5,143,86.5,86.5,86.5,62,73.5,91.5,89,82.5,80,122.5,104.5,64.5,127.5,120,120,111,64.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,15.5,49,67,73.5,80,64.5,0,109.5,174,126.5,93,93,158.5,116,149.5,144.5,142,120,129,178,233.5,224.5,242.5,249,209,267,237.5,285,272,281,250,319.5,287.5,290,314.5,305.5,263,277,295,313,313,341.5,327.5,309.5,295.5,304.5,249,312,367.5,322.5,327.5,296.5,202.5,147,91.5,60.5,0,0,0,0,0,
佐藤楓,363.5,363.5,429,404.5,404.5,317,310.5,295,355.5,243.5,315.5,273,257.5,230.5,293.5,390,376,391.5,534.5,413.5,431.5,371,465,435.5,431.5,519,452,427.5,427.5,313,333.5,300,257.5,354,414.5,327,257.5,242,203.5,212.5,270.5,143,140.5,116,82.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,196,303,303,303,376.5,410,410,506.5,506.5,506.5,506.5,506.5,506.5,506.5,540,509,426.5,384,384,377.5,326,371,449.5,395.5,403,376,535.5,535.5,481.5,385,360.5,403,360.5,291,364.5,301.5,344,232,189.5,185.5,273,355.5,301.5,205,201,136.5,136.5,136.5,118.5,152,145.5,96.5,193,139,42.5,103,190.5,103,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
柴田柚菜,0,0,46.5,31,31,112,161,219,156,252.5,243.5,286,279.5,322,268,234.5,246,306.5,230.5,318,304,279.5,297.5,297.5,297.5,313,319.5,310.5,310.5,300,273,284.5,360.5,288.5,270.5,230.5,212.5,221.5,197,215,215,257.5,203.5,237,304,210,192,125,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.5,98,64.5,98,80,64.5,42.5,58,154.5,194.5,237,210,185.5,170,145.5,199.5,121,260,181.5,181.5,197,112,224,154.5,212.5,149.5,64.5,103,87.5,145.5,185.5,98,82.5,127.5,136.5,109.5,176.5,125,112,96.5,42.5,42.5,145.5,103,118.5,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
黒見明香,593,593,553,488.5,488.5,536,612,618.5,549,663.5,645.5,605.5,632.5,657,594,518,614.5,605.5,603,554,523,498.5,460,420,411,399.5,402,359.5,332.5,292.5,237,315.5,248.5,248.5,367,288.5,277,277,216.5,165,194.5,266.5,206,255,167.5,82.5,58,33.5,33.5,33.5,33.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,449.5,527,542.5,658.5,689.5,756.5,756.5,805.5,805.5,805.5,821,845.5,879,946,961.5,977,1115,1135.5,1117.5,1124,1061,1255.5,1253,1281.5,1342,1295.5,1302,1281.5,1150,1125.5,1165.5,1136,1071.5,1056,1022.5,980,946.5,868,819,843.5,816.5,814,758.5,698,624.5,575.5,520,464.5,431,442.5,490,510.5,508,437,504,457.5,554,500,551.5,487,426.5,402,402,290,193.5,147,98,31,0,0,0,0,0,0,0,0,
弓木奈於,0,0,15.5,95.5,95.5,95.5,46.5,112,163.5,264,228,198.5,214,144.5,192,188,194.5,183,203.5,219,201,241,189.5,216.5,183,158.5,185.5,197,239.5,185.5,192,207.5,207.5,138,162.5,116,118.5,145.5,127.5,127.5,203.5,116,116,60.5,112,172.5,109.5,73.5,24.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,49,76,103,163.5,136.5,76,131.5,193.5,111,131.5,156,156,113.5,107,140.5,129,120,122.5,107,107,192,185.5,185.5,203.5,192,192,198.5,183,211.5,209,173,197.5,197.5,197.5,206.5,222,220.5,236,200,196,196,198.5,201,183,116,197,112,239.5,176.5,207.5,147,98,15.5,51.5,51.5,0,0,0,
佐藤璃果,793.5,851.5,900.5,761.5,761.5,761.5,716.5,806.5,793.5,838.5,946.5,1049.5,971,895,904,936,911.5,884.5,888.5,837,825.5,774,861.5,865.5,807.5,807.5,735.5,708.5,650.5,677.5,717.5,590,565.5,644,498.5,514,438,362,310.5,310.5,254,241,207.5,147,131.5,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,297.5,362,480.5,480.5,480.5,480.5,480.5,541,541,541,541,541,541,556.5,556.5,556.5,630,645.5,551.5,634,667.5,546.5,531,603,657,581,541,644,664.5,660.5,618,609,660.5,712,615.5,573,506,463.5,463.5,367,443,443,398,521.5,416,552.5,512.5,416,355.5,288.5,248.5,224,145.5,145.5,55.5,46.5,49,15.5,73.5,24.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
